mese,giorno*,Pioggiamm,Temp. min°C,Temp. med°C,Temp. max°C,Umidità med%,Vento medkm/h,Vento maxkm/h,Dir. V. max°N,Radiaz.KJ/m2,Press. medhPa,Stazione,Anno
6,1,0.0,11.4,20.1,27.9,62,,,,,,Ariis,2020
6,2,0.0,12.3,20.1,28.0,68,,,,,,Ariis,2020
6,3,19.6,13.7,20.5,26.6,73,,,,,,Ariis,2020
6,4,41.2,15.4,17.5,21.8,91,,,,,,Ariis,2020
6,5,23.8,15.7,18.8,23.8,88,,,,,,Ariis,2020
6,6,0.6,16.9,20.8,26.8,82,,,,,,Ariis,2020
6,7,8.0,15.7,18.9,24.5,88,,,,,,Ariis,2020
6,8,61.2,15.6,17.1,19.1,97,,,,,,Ariis,2020
6,9,2.8,15.5,19.1,23.6,83,,,,,,Ariis,2020
6,10,6.0,14.1,16.9,20.4,94,,,,,,Ariis,2020
6,11,6.4,13.3,17.6,23.3,83,,,,,,Ariis,2020
6,12,,11.8,18.9,25.1,81,,,,,,Ariis,2020
6,13,0.0,14.2,21.0,26.8,81,,,,,,Ariis,2020
6,14,1.4,17.7,20.4,24.6,83,,,,,,Ariis,2020
6,15,3.4,17.8,19.3,22.0,94,,,,,,Ariis,2020
6,16,0.0,17.6,22.0,28.3,78,,,,,,Ariis,2020
6,17,10.4,15.5,21.3,28.1,79,,,,,,Ariis,2020
6,18,0.2,14.7,20.1,26.8,83,,,,,,Ariis,2020
6,19,45.8,15.7,18.8,26.1,88,,,,,,Ariis,2020
6,20,0.0,15.5,20.7,27.6,77,,,,,,Ariis,2020
6,21,0.0,14.6,20.2,26.3,87,,,,,,Ariis,2020
6,22,0.0,15.5,24.2,32.3,67,,,,,,Ariis,2020
6,23,0.0,15.8,24.7,31.5,62,,,,,,Ariis,2020
6,24,0.0,19.4,23.8,28.7,61,,,,,,Ariis,2020
6,25,0.2,18.2,21.2,25.5,74,,,,,,Ariis,2020
6,26,3.0,17.7,23.0,29.5,74,,,,,,Ariis,2020
6,27,0.0,17.4,24.0,30.1,77,,,,,,Ariis,2020
6,28,0.0,19.2,25.5,32.0,75,,,,,,Ariis,2020
6,29,38.0,19.8,23.4,29.6,85,,,,,,Ariis,2020
6,30,0.0,20.5,25.1,31.6,72,,,,,,Ariis,2020
