Giorno,GEN,FEB,MAR,APR,MAG,GIU,LUG,AGO,SET,NOV,DIC,anno,parametro,provincia,stazione
1,1009.2,1004.0,1006.2,997.9,1011.7,1015.0,1010.1,1013.3,1012.0,1008.0,1016.3,1019.9,2018,PRESS,Padova,Teolo
2,1008.3,1003.3,995.7,1012.3,1005.3,1015.4,1012.5,1014.7,1015.4,1013.0,1017.3,1017.5,2018,PRESS,Padova,Teolo
3,1004.0,999.2,998.7,1016.9,1003.2,1013.4,1013.4,1015.1,1012.5,1020.3,1019.5,1013.9,2018,PRESS,Padova,Teolo
4,1007.6,1008.7,1002.1,1014.0,1007.8,1008.2,1014.1,1014.1,1012.8,1023.7,1015.1,1013.2,2018,PRESS,Padova,Teolo
5,1007.4,1020.1,995.1,1012.7,1013.8,1007.9,1009.8,1013.7,1013.9,1021.8,1013.9,1022.5,2018,PRESS,Padova,Teolo
6,1011.9,1009.6,992.8,1018.0,1014.1,1010.8,1011.1,1013.7,1010.2,1013.3,1015.1,1022.8,2018,PRESS,Padova,Teolo
7,1016.8,1006.3,996.9,1017.1,1011.7,1014.3,1014.8,,1010.5,1012.3,1015.0,1013.1,2018,PRESS,Padova,Teolo
8,1021.7,1009.1,1004.4,1013.5,1006.1,1010.3,1014.5,1013.6,1016.0,1017.7,1019.6,1009.0,2018,PRESS,Padova,Teolo
9,1017.7,1013.6,1013.9,1007.9,1005.9,1009.8,1014.1,1014.8,1019.8,1020.6,1018.2,1006.7,2018,PRESS,Padova,Teolo
10,1013.9,1011.6,1013.9,1008.9,1007.1,1009.9,1010.3,1016.7,1020.5,1020.8,1016.6,1009.5,2018,PRESS,Padova,Teolo
11,1012.6,1009.8,1000.7,1007.5,1013.1,1008.2,1011.3,1015.9,1022.6,1020.7,1017.7,1017.0,2018,PRESS,Padova,Teolo
12,1017.0,1009.0,1001.1,1005.8,1012.0,1004.6,1013.7,1014.5,1018.3,1022.9,1024.2,1019.3,2018,PRESS,Padova,Teolo
13,1021.8,1012.0,1004.6,1007.9,1007.4,1003.4,1015.6,1009.3,1013.9,1022.6,1026.6,1016.0,2018,PRESS,Padova,Teolo
14,1021.2,1012.6,1009.4,1017.2,1008.0,1006.3,1013.7,1010.5,1014.1,1018.6,1027.1,1016.1,2018,PRESS,Padova,Teolo
15,1018.7,1020.6,1002.2,1008.7,1008.3,1010.9,1011.6,1014.9,1017.1,1018.5,1024.8,1019.7,2018,PRESS,Padova,Teolo
16,1003.7,1023.3,1001.1,1009.1,1012.4,1011.6,1009.5,1014.3,1021.0,1020.0,1025.6,1019.4,2018,PRESS,Padova,Teolo
17,998.2,1018.2,993.4,1015.9,1013.7,1012.3,1010.0,1013.3,1019.4,1017.8,1024.4,1018.3,2018,PRESS,Padova,Teolo
18,1011.2,1017.5,996.1,1026.1,1015.1,1014.2,1011.6,1015.4,1018.4,1015.4,1015.1,1028.0,2018,PRESS,Padova,Teolo
19,1008.9,1014.0,998.5,1025.3,1015.3,1018.2,1011.7,1015.8,1018.7,1017.1,1007.9,1023.2,2018,PRESS,Padova,Teolo
20,1005.1,1008.9,1004.8,1020.8,1014.6,1018.0,1010.8,1014.0,1017.3,1021.4,1005.1,1022.3,2018,PRESS,Padova,Teolo
21,1002.5,1007.9,1011.7,1017.8,1012.1,1010.9,1009.7,1014.7,1013.6,1019.4,1011.2,1024.4,2018,PRESS,Padova,Teolo
22,1013.8,1006.6,1007.6,1016.3,1011.7,1010.1,1008.7,1014.5,1013.7,1021.2,1017.8,1020.9,2018,PRESS,Padova,Teolo
23,1016.0,1008.4,1002.4,1014.9,1015.0,1017.7,1010.3,1011.0,1010.6,1015.5,1019.0,1022.1,2018,PRESS,Padova,Teolo
24,1029.8,1009.8,1003.8,1015.6,1014.8,1015.7,1010.8,1007.6,1009.6,1008.8,1013.8,1014.1,2018,PRESS,Padova,Teolo
25,1024.1,1014.4,1006.8,1012.4,1014.4,1015.5,1010.4,1004.5,1029.5,1014.5,1001.1,1028.1,2018,PRESS,Padova,Teolo
26,1022.2,1009.7,1009.7,1009.6,1018.0,1016.7,1010.9,1005.4,1034.1,1010.1,998.9,1029.4,2018,PRESS,Padova,Teolo
27,1025.8,1010.4,1011.7,1013.4,1016.4,1013.2,1010.7,1015.4,1023.7,1000.4,1004.3,1026.4,2018,PRESS,Padova,Teolo
28,1033.4,1014.7,1008.8,1012.1,1016.5,1009.2,1009.5,1017.0,1013.7,998.8,1015.2,1024.9,2018,PRESS,Padova,Teolo
29,1029.2,1006.6,1008.0,1014.3,1008.3,1011.8,1014.1,1015.5,992.2,1025.9,1025.8,,2018,PRESS,Padova,Teolo
30,1027.2,1003.0,1007.8,1014.1,1007.6,1013.2,1013.8,1014.4,998.6,1020.0,1022.6,,2018,PRESS,Padova,Teolo
31,1015.7,995.4,1013.6,1013.0,1013.3,1019.1,1025.6,,,,,,2018,PRESS,Padova,Teolo
